hour,venue,event,date,capacity,occupation,lineup,event_genres,city,headliner,lon,lat,marker-color,marker-size,marker-symbol
20:00,Teatro Colon,Fonseca Sinfonico,12/11/2014,785,100,Fonseca sinfonico,"sinfonico, pop",bogota,,-74.07375901937485,4.597575927968835,#7e7e7e,medium,
20:00,Teatro Colon,Fonseca Sinfonico,12/12/2014,785,100,Fonseca sinfonico,"sinfonico, pop",bogota,,-74.07410234212875,4.597624052378266,#7e7e7e,medium,
20:00,Aguapanelas,,12/05/2014,2000,100,Fonseca,"pop, tropipop",bogota,,-74.03001487255096,4.839933961069868,#7e7e7e,medium,
20:00,Teatro Nacional Sucre,fonseca sinfonico,11/06/2014,804,100,fonseca sinfonico,"sinfonico, pop",quito,fonseca sinfonico,-78.508867,-0.218873,#7e7e7e,medium,
20:00,Teatro Nacional Sucre,fonseca sinfonico,11/07/2014,804,100,fonseca sinfonico,"sinfonico, pop",quito,fonseca sinfonico,-78.50881308317184,-0.21888381645954114,,,
20:00,Privado,privado,11/08/2014,200,100,fonseca,"pop, tropipop",salinas,fonseca,-80.96064,-2.214634,,,
20:00,Centro de eventos aguapanelas,,10/24/2014,2000,100,"Fonseca, mojito_lite, santiago_cruz, franco_de_vita","pop, tropipop",bogota,franco_de_vita,-74.02992904186249,4.839859127004338,,,
20:00,estadio romelio martinez,,10/25/2014 ,15000,100,"fonseca, santiago_cruz, franco_de_vita","pop, tropipop",barranquilla,franco_de_vita,-74.806977,10.994242,,,
20:00,Casa de Campo,privado,09/19/2014,200,100,"fonseca, dj","pop, tropipop",santo domingo,fonseca,-68.946977,18.424296,,,
20:00,puerto vallarta,privado,09/14/2014,200,100,"fonseca, dj","pop, tropipop",puerto vallarta,fonseca,-105.423346,20.742728,,,
20:00,centro cultural deportivo,feria del hogar,08/06/20140:00:00,5000,NA,fonseca,"pop, tropipop",lima,fonseca,-77.021166,-12.208999,,,
20:00,sanon jumbo country club,privado,07/18/2014,300,100,fonseca,"pop, tropipop",barranquilla,fonseca,-74.80417013168335,11.005488464874706,,,
20:00,powerade center,el mega concierto latino,08/23/2013,3800,NA,"fonseca, gilberto_santa_rosa, myrian_hernandez","pop, tropipop, salsa, romantica",toronto,gilberto_santa_rosa,-79.708879,43.667212,,,
